 Vendor of Record (VOR) Name, Qualified Vendor
 Employee and Family Assistance Program Services (EFAP), TELUS Health Solutions
 Information and Information Technology (IIT) Solutions Consulting Services, 01 Millennium Consulting Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, 13737926 Canada Inc (Sapien Insights)
 Information and Information Technology (IIT) Solutions Consulting Services, 2164154 Ontario Inc. (DBA CIT Technologies)
 Information and Information Technology (IIT) Solutions Consulting Services, 2164709 Ontario Inc. (DBA Astral Solutions Group)
 Information and Information Technology (IIT) Solutions Consulting Services, 2258973 Ontario Inc. (DBA Lucrodyne)
 Information and Information Technology (IIT) Solutions Consulting Services, 6535836 Canada Inc. (DBA Alphavima Technologies)
 Information and Information Technology (IIT) Solutions Consulting Services, Able Industrial Trades Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Accenture Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Adactin Solutions Inc. (DBA Adactin Group Pty Ltd)
 Information and Information Technology (IIT) Solutions Consulting Services, Adastra Corporation
 Information and Information Technology (IIT) Solutions Consulting Services, Affinity Staffing Inc (DBA Affinity Group)
 Information and Information Technology (IIT) Solutions Consulting Services, AnP Consulting Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Apex Systems Inc
 Information and Information Technology (IIT) Solutions Consulting Services, AppsOnTime Technologies Ltd (DBA AOT Technologies)
 Information and Information Technology (IIT) Solutions Consulting Services, Apption Corporation
 Information and Information Technology (IIT) Solutions Consulting Services, Architecture in Motion Inc
 Information and Information Technology (IIT) Solutions Consulting Services, AYNET INC.
 Information and Information Technology (IIT) Solutions Consulting Services, A.T. Consulting and Recruiting Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Ban Partners Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, BDO Canada LLP (formerly PPI Consulting Limited)
 Information and Information Technology (IIT) Solutions Consulting Services, Bell Canada
 Information and Information Technology (IIT) Solutions Consulting Services, Bevertec CST Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Blue Ocean CRM Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Bold Internet Solutions Limited
 Information and Information Technology (IIT) Solutions Consulting Services, Calian Digital Solutions Ltd (Formerly Dapasoft)
 Information and Information Technology (IIT) Solutions Consulting Services, CANImmunize Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Cantan Group 786 Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Cask Canada Consulting ULC
 Information and Information Technology (IIT) Solutions Consulting Services, CGI Information Systems and Management Consultants Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Cloud SynApps Inc
 Information and Information Technology (IIT) Solutions Consulting Services, CM Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Code 4 Canada
 Information and Information Technology (IIT) Solutions Consulting Services, Compugen Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Computacenter TeraMach Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, CorGTA Inc (DBA CorGTA)
 Information and Information Technology (IIT) Solutions Consulting Services, Cyrulean Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Deloitte Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, DesTech Consulting Services Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Dimensional Strategies Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, DLS Technology Corporation
 Information and Information Technology (IIT) Solutions Consulting Services, DXC Technology (formerly ESIT Canada Enterprise Services Co.)
 Information and Information Technology (IIT) Solutions Consulting Services, Dyna Lync 2000 Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, EBF Solutions Incorporation Ltd
 Information and Information Technology (IIT) Solutions Consulting Services, Eclipsys Solutions Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Edgeworx Solutions Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Ellefson Technology Consulting Inc (DBA Ollon)
 Information and Information Technology (IIT) Solutions Consulting Services, Envision IT Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Ernst & Young LLP
 Information and Information Technology (IIT) Solutions Consulting Services, FPT Canada Inc
 Information and Information Technology (IIT) Solutions Consulting Services, FrontDesk Queue Management Systems
 Information and Information Technology (IIT) Solutions Consulting Services, GEF Consulting Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, GHD Limited
 Information and Information Technology (IIT) Solutions Consulting Services, GHW Technologies
 Information and Information Technology (IIT) Solutions Consulting Services, GovTech Talent Solutions Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Guidehouse Canada Ltd
 Information and Information Technology (IIT) Solutions Consulting Services, Healthtech Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, HighVail Systems Inc.
